id,x,y,,,,,,,,,,,
BT90N0i,0,2.02,,,,,,,,,,,
BT90N0i,0.45,3.08,,,,,,,,,,,
BT90N0i,0.76,3.6,,,,,,,,,,,
BT90N0i,1.59,4.83,,,,,,,,,,,
BT90N0i,2.76,6.05,,,,,,,,,,,
BT90N0i,3.68,6.71,,,,,,,,,,,
BT90N0i,4.54,7.01,,,,,,,,,,,
BT90N0i,5,7.02,,,,,,,,,,,
BT0N0,0,5.18,,,,,,,,,,,
BT0N0,5,5.17,,,,,,,,,,,
BT30N0,0,4.2,,,,,,,,,,,
BT30N0,0.25,4.51,,,,,,,,,,,
BT30N0,0.6,4.84,,,,,,,,,,,
BT30N0,1,5.16,,,,,,,,,,,
BT30N0,5,5.18,,,,,,,,,,,
BT60N0,0,3.04,,,,,,,,,,,
BT60N0,0.3,3.8,,,,,,,,,,,
BT60N0,0.82,4.64,,,,,,,,,,,
BT60N0,1.5,5.18,,,,,,,,,,,
BT60N0,5,5.17,,,,,,,,,,,
BT90N0,0,2.01,,,,,,,,,,,
BT90N0,0.25,2.72,,,,,,,,,,,
BT90N0,0.76,3.6,,,,,,,,,,,
BT90N0,1.29,4.28,,,,,,,,,,,
BT90N0,1.91,4.88,,,,,,,,,,,
BT90N0,2.25,5.16,,,,,,,,,,,
BT90N0,5,5.17,,,,,,,,,,,
BT0N2,0,3.35,,,,,,,,,,,
BT0N2,5,3.34,,,,,,,,,,,
BT30N2,0,2.89,,,,,,,,,,,
BT30N2,0.46,3.19,,,,,,,,,,,
BT30N2,0.81,3.34,,,,,,,,,,,
BT30N2,5,3.35,,,,,,,,,,,
BT60N2,0,2.16,,,,,,,,,,,
BT60N2,0.45,2.59,,,,,,,,,,,
BT60N2,1.28,3.09,,,,,,,,,,,
BT60N2,1.9,3.33,,,,,,,,,,,
BT60N2,5,3.35,,,,,,,,,,,
BT90N2,0,1.01,,,,,,,,,,,
BT90N2,0.41,1.62,,,,,,,,,,,
BT90N2,0.94,2.18,,,,,,,,,,,
BT90N2,1.7,2.73,,,,,,,,,,,
BT90N2,2.77,3.21,,,,,,,,,,,
BT90N2,3.32,3.36,,,,,,,,,,,
BT90N2,5,3.35,,,,,,,,,,,
BT0N4,0,1.48,,,,,,,,,,,
BT0N4,5,1.5,,,,,,,,,,,
BT30N4,0,1.16,,,,,,,,,,,
BT30N4,1.05,1.5,,,,,,,,,,,
BT30N4,5,1.5,,,,,,,,,,,
BT60N4,0,0.54,,,,,,,,,,,
BT60N4,0.75,0.96,,,,,,,,,,,
BT60N4,1.69,1.31,,,,,,,,,,,
BT60N4,2.23,1.5,,,,,,,,,,,
BT60N4,5,1.48,,,,,,,,,,,
BT90N4,1.01,0,,,,,,,,,,,
BT90N4,1.34,0.45,,,,,,,,,,,
BT90N4,1.89,0.88,,,,,,,,,,,
BT90N4,2.87,1.33,,,,,,,,,,,
BT90N4,3.61,1.48,,,,,,,,,,,
BT90N4,5,1.48,,,,,,,,,,,
